 iter   |   grad     |   value    |      M       |    e_min     |   time     |      x[0]    x[1]    x[2]    x[3]  | 
    37  | 8.359e+00  | 2.292e+02  |    16.89600  |     0.81680  | +0.001502  | [ 14.963   0.744 -91.421   7.300]  | 
    38  | 7.814e+00  | 2.237e+02  |    16.89600  |     0.79448  | +0.001503  | [ 15.638   0.694 -91.477   7.282]  | 
    39  | 7.302e+00  | 2.187e+02  |    16.89600  |     0.77399  | +0.001502  | [ 16.290   0.647 -91.527   7.264]  | 
    40  | 6.819e+00  | 2.143e+02  |    16.89600  |     0.75523  | +0.001001  | [ 16.921   0.603 -91.571   7.247]  | 
    41  | 6.363e+00  | 2.102e+02  |    16.89600  |     0.73808  | +0.001001  | [ 17.531   0.562 -91.609   7.230]  | 
    42  | 5.933e+00  | 2.066e+02  |    16.89600  |     0.72245  | +0.000997  | [ 18.120   0.524 -91.643   7.214]  | 
    43  | 5.525e+00  | 2.033e+02  |    16.89600  |     0.70824  | +0.001001  | [ 18.689   0.488 -91.672   7.198]  | 
    44  | 5.140e+00  | 2.004e+02  |    16.89600  |     0.69535  | +0.001001  | [ 19.238   0.454 -91.696   7.183]  | 
    45  | 4.775e+00  | 1.978e+02  |    16.89600  |     0.68370  | +0.001002  | [ 19.767   0.423 -91.717   7.169]  | 
    46  | 4.429e+00  | 1.954e+02  |    16.89600  |     0.67319  | +0.001002  | [ 20.277   0.393 -91.735   7.155]  | 
    47  | 4.101e+00  | 1.933e+02  |    16.89600  |     0.66376  | +0.001001  | [ 20.768   0.366 -91.749   7.142]  | 
    48  | 3.790e+00  | 1.915e+02  |    16.89600  |     0.65531  | +0.001503  | [ 21.240   0.340 -91.760   7.129]  | 
    49  | 3.494e+00  | 1.898e+02  |    16.89600  |     0.64779  | +0.001002  | [ 21.693   0.316 -91.768   7.117]  | 
    50  | 3.214e+00  | 1.884e+02  |    16.89600  |     0.64110  | +0.001002  | [ 22.128   0.294 -91.775   7.105]  | 
    51  | 2.948e+00  | 1.871e+02  |    16.89600  |     0.63520  | +0.001001  | [ 22.544   0.273 -91.779   7.094]  | 
    52  | 2.696e+00  | 1.860e+02  |    16.89600  |     0.63001  | +0.001002  | [ 22.943   0.253 -91.781   7.084]  | 
    53  | 2.457e+00  | 1.850e+02  |    16.89600  |     0.62548  | +0.001001  | [ 23.323   0.235 -91.781   7.073]  | 
    54  | 2.231e+00  | 1.841e+02  |    16.89600  |     0.62153  | +0.000999  | [ 23.685   0.218 -91.781   7.064]  | 
