



S =  [  0.782030-400.j   4.012712-400.j  -6.450680-400.j  -6.450860-400.j  -5.593560-400.j  -4.303490-400.j  10.769700-400.j  -3.494220-400.j  -1.863830-400.j  59.427300-400.j  -0.394980-400.j  -3.818180-400.j  -0.169910-400.j  -3.159090-400.j  14.522730-400.j]
    14  | 9.428e+01  | 1.459e+04  |     0.20000  |     0.32277  | +0.015625  | [362.610 362.600 362.187 -41.563 372.198 291.581 359.347 343.706 330.007 344.306 308.723 389.250 246.036 362.768 378.702 -65.381 -65.407 -73.250   6.615 -67.865 -79.899 -64.442 -86.143 -85.373 -84.858 -81.466 -72.658 -71.083 -71.083 -99.254]  | 
    15  | 8.749e+01  | 1.269e+04  |     0.20000  |     0.32079  | +0.000000  | [361.399 361.388 360.783 -41.546 370.950 289.901 358.147 341.952 328.245 342.588 307.025 387.927 244.525 361.416 376.631 -70.028 -70.054 -78.433   7.006 -72.704 -85.337 -69.025 -92.120 -91.283 -90.734 -87.071 -77.860 -75.770 -76.123 -106.222]  | 
    16  | 8.104e+01  | 1.100e+04  |     0.20000  |     0.31804  | +0.000000  | [360.129 360.118 359.314 -41.538 369.643 288.148 356.891 340.118 326.405 340.792 305.252 386.539 242.951 360.001 374.469 -74.471 -74.496 -83.387   7.388 -77.331 -90.526 -73.406 -97.829 -96.925 -96.345 -92.421 -82.835 -80.240 -80.940 -112.876]  | 
    17  | 7.490e+01  | 9.496e+03  |     0.20000  |     0.31487  | +0.000000  | [358.820 358.809 357.801 -41.535 368.295 286.347 355.596 338.233 324.514 338.946 303.431 385.108 241.337 358.543 372.245 -78.715 -78.741 -88.117   7.762 -81.751 -95.475 -77.592 -103.275 -102.307 -101.699 -97.523 -87.589 -84.501 -85.540 -119.223]  | 
    18  | 6.907e+01  | 8.162e+03  |     0.20000  |     0.31141  | +0.004577  | [357.485 357.474 356.258 -41.534 366.920 284.516 354.276 336.314 322.589 337.067 301.578 383.648 239.697 357.057 369.982 -82.766 -82.791 -92.630   8.126 -85.971 -100.188 -81.586 -108.466 -107.436 -106.803 -102.385 -92.128 -88.557 -89.930 -125.272]  | 
    19  | 6.354e+01  | 6.984e+03  |     0.20000  |     0.30777  | +0.000000  | [356.136 356.124 354.699 -41.536 365.529 282.669 352.941 334.375 320.645 335.170 299.708 382.172 238.044 355.555 367.696 -86.627 -86.653 -96.930   8.479 -89.994 -104.673 -85.394 -113.408 -112.317 -111.662 -107.011 -96.455 -92.414 -94.113 -131.029]  | 
    20  | 5.832e+01  | 5.947e+03  |     0.20000  |     0.30400  | +0.000000  | [354.780 354.768 353.132 -41.539 364.132 280.817 351.600 332.430 318.695 333.266 297.832 380.687 236.389 354.045 365.403 -90.304 -90.329 -101.022   8.823 -93.824 -108.933 -89.019 -118.106 -116.958 -116.282 -111.408 -100.576 -96.076 -98.095 -136.502]  | 
    21  | 5.338e+01  | 5.037e+03  |     0.20000  |     0.30015  | +0.000000  | [353.425 353.413 351.568 -41.542 362.736 278.971 350.259 330.490 316.750 331.366 295.962 379.204 234.740 352.538 363.115 -93.800 -93.825 -104.912   9.156 -97.467 -112.976 -92.466 -122.568 -121.363 -120.670 -115.581 -104.495 -99.550 -101.879 -141.698]  | 
    22  | 4.872e+01  | 4.243e+03  |     0.20000  |     0.29625  | +0.000000  | [352.079 352.067 350.015 -41.546 361.348 277.140 348.928 328.563 314.819 329.480 294.106 377.731 233.106 351.041 360.844 -97.119 -97.144 -108.603   9.478 -100.926 -116.807 -95.738 -126.798 -125.538 -124.830 -119.536 -108.218 -102.840 -105.472 -146.623]  | 
    23  | 4.434e+01  | 3.553e+03  |     0.20000  |     0.29233  | +0.000000  | [350.748 350.736 348.479 -41.550 359.976 275.332 347.612 326.661 312.913 327.617 292.273 376.273 231.493 349.561 358.601 -100.266 -100.291 -112.101   9.789 -104.206 -120.431 -98.841 -130.803 -129.491 -128.769 -123.279 -111.748 -105.952 -108.876 -151.285]  | 
    24  | 4.022e+01  | 2.955e+03  |     0.20000  |     0.28843  | +0.000000  | [349.439 349.426 346.968 -41.554 358.626 273.556 346.316 324.790 311.039 325.785 290.472 374.839 229.910 348.104 356.395 -103.245 -103.270 -115.411  10.089 -107.311 -123.856 -101.778 -134.589 -133.227 -132.493 -126.816 -115.090 -108.889 -112.098 -155.692]  | 
    25  | 3.636e+01  | 2.440e+03  |     0.20000  |     0.28457  | +0.000000  | [348.156 348.143 345.488 -41.558 357.304 271.818 345.047 322.958 309.204 323.993 288.709 373.433 228.362 346.678 354.237 -106.060 -106.085 -118.538  10.377 -110.246 -127.085 -104.553 -138.162 -136.753 -136.008 -130.153 -118.250 -111.659 -115.142 -159.850]  | 
    26  | 3.275e+01  | 2.000e+03  |     0.20000  |     0.28077  | +0.000000  | [346.905 346.891 344.045 -41.561 356.013 270.125 343.810 321.174 307.416 322.245 286.992 372.062 226.855 345.287 352.133 -108.716 -108.741 -121.487  10.654 -113.015 -130.126 -107.171 -141.529 -140.073 -139.320 -133.295 -121.231 -114.266 -118.013 -163.767]  | 
    27  | 2.937e+01  | 1.625e+03  |     0.20000  |     0.27706  | +0.000000  | [345.690 345.676 342.643 -41.564 354.760 268.482 342.608 319.442 305.682 320.550 285.326 370.731 225.393 343.936 350.092 -111.217 -111.241 -124.262  10.919 -115.622 -132.984 -109.636 -144.694 -143.195 -142.434 -136.249 -124.039 -116.714 -120.715 -167.450]  | 
    28  | 2.622e+01  | 1.307e+03  |     0.20000  |     0.27345  | +0.015610  | [344.515 344.501 341.289 -41.567 353.549 266.896 341.446 317.768 304.006 318.911 283.717 369.443 223.983 342.630 348.119 -113.566 -113.591 -126.868  11.172 -118.072 -135.664 -111.952 -147.664 -146.124 -145.356 -139.020 -126.678 -119.009 -123.253 -170.905]  | 
    29  | 2.329e+01  | 1.041e+03  |     0.20000  |     0.26996  | +0.000000  | [343.384 343.370 339.985 -41.569 352.383 265.371 340.327 316.158 302.394 317.335 282.169 368.204 222.627 341.374 346.222 -115.768 -115.793 -129.310  11.413 -120.369 -138.171 -114.123 -150.445 -148.865 -148.092 -141.613 -129.151 -121.155 -125.632 -174.138]  | 
    30  | 2.057e+01  | 8.196e+02  |     0.20000  |     0.26661  | +0.000000  | [342.301 342.287 338.737 -41.571 351.265 263.911 339.256 314.616 300.851 315.826 280.687 367.016 221.329 340.170 344.405 -117.827 -117.852 -131.593  11.641 -122.516 -140.511 -116.152 -153.042 -151.424 -150.647 -144.033 -131.465 -123.157 -127.855 -177.157]  | 
    31  | 1.805e+01  | 6.368e+02  |     0.20000  |     0.26340  | +0.015637  | [341.268 341.254 337.546 -41.572 350.200 262.520 338.234 313.147 299.380 314.388 279.275 365.884 220.093 339.022 342.673 -119.746 -119.771 -133.719  11.857 -124.518 -142.688 -118.043 -155.459 -153.807 -153.026 -146.286 -133.621 -125.019 -129.926 -179.967]  | 
    32  | 1.573e+01  | 4.876e+02  |     0.20000  |     0.26034  | +0.000000  | [340.288 340.274 336.417 -41.573 349.189 261.202 337.265 311.754 297.985 313.024 277.937 364.809 218.922 337.934 341.031 -121.529 -121.554 -135.694  12.060 -126.378 -144.707 -119.800 -157.702 -156.017 -155.234 -148.376 -135.625 -126.746 -131.850 -182.575]  | 
    33  | 1.360e+01  | 3.671e+02  |     0.20000  |     0.25746  | +0.000000  | [339.363 339.349 335.352 -41.573 348.235 259.959 336.350 310.440 296.670 311.737 276.674 363.795 217.818 336.906 339.483 -123.179 -123.203 -137.521  12.251 -128.099 -146.573 -121.427 -159.776 -158.060 -157.275 -150.307 -137.480 -128.341 -133.630 -184.985]  | 
    34  | 1.164e+01  | 2.712e+02  |     0.20000  |     0.25475  | +0.015613  | [338.496 338.482 334.353 -41.573 347.341 258.793 335.493 309.208 295.437 310.531 275.491 362.844 216.784 335.943 338.031 -124.699 -124.724 -139.204  12.428 -129.685 -148.290 -122.925 -161.685 -159.940 -159.154 -152.084 -139.189 -129.807 -135.270 -187.203]  | 
