  iter |       grad |      value |  vector
    80 |  3.822e+01 |  4.796e+04 |  [     12.794      12.648       9.792      18.114       7.894      70.670      14.925      35.436      59.118      14.437      48.913     -15.760      62.118      -1.168      64.949     -81.732     -81.719      -1.276      47.669     -82.129      -2.347     -69.293     -47.914     -33.322     -46.696      -5.546      -1.457      13.488       0.399     -14.111]
    81 |  4.032e+01 |  4.785e+04 |  [     12.445      12.297       9.811      17.850       7.525      70.589      14.602      35.464      59.110      14.474      48.884     -15.843      61.998      -1.147      64.997     -80.280     -80.265      -1.283      47.623     -80.709      -2.279     -68.063     -47.919     -33.292     -46.710      -5.515      -1.512      13.548       0.412     -14.163]
    82 |  4.242e+01 |  4.773e+04 |  [     12.094      11.942       9.832      17.617       7.157      70.516      14.274      35.491      59.103      14.510      48.857     -15.920      61.890      -1.122      65.041     -78.785     -78.770      -1.291      47.585     -79.250      -2.213     -66.798     -47.921     -33.261     -46.723      -5.483      -1.566      13.606       0.426     -14.207]
    83 |  4.451e+01 |  4.760e+04 |  [     11.738      11.584       9.855      17.410       6.789      70.449      13.941      35.517      59.098      14.544      48.832     -15.990      61.792      -1.094      65.081     -77.250     -77.235      -1.302      47.554     -77.754      -2.148     -65.499     -47.922     -33.230     -46.733      -5.450      -1.617      13.664       0.441     -14.245]
    84 |  4.657e+01 |  4.746e+04 |  [     11.379      11.221       9.880      17.225       6.422      70.388      13.604      35.543      59.094      14.577      48.809     -16.053      61.702      -1.061      65.116     -75.677     -75.661      -1.314      47.528     -76.223      -2.084     -64.167     -47.920     -33.198     -46.742      -5.416      -1.666      13.721       0.458     -14.276]
    85 |  4.859e+01 |  4.731e+04 |  [     11.015      10.853       9.908      17.059       6.056      70.330      13.261      35.567      59.090      14.608      48.786     -16.108      61.618      -1.025      65.148     -74.068     -74.050      -1.328      47.508     -74.660      -2.022     -62.804     -47.918     -33.166     -46.750      -5.383      -1.714      13.776       0.476     -14.301]
    86 |  5.054e+01 |  4.715e+04 |  [     10.647      10.481       9.938      16.910       5.693      70.277      12.912      35.590      59.086      14.638      48.765     -16.154      61.541      -0.983      65.176     -72.423     -72.405      -1.344      47.491     -73.067      -1.961     -61.412     -47.914     -33.134     -46.758      -5.350      -1.760      13.831       0.495     -14.323]
    87 |  5.242e+01 |  4.698e+04 |  [     10.274      10.105       9.972      16.776       5.332      70.226      12.558      35.611      59.082      14.667      48.744     -16.190      61.468      -0.937      65.202     -70.747     -70.728      -1.361      47.478     -71.446      -1.902     -59.992     -47.910     -33.103     -46.764      -5.317      -1.804      13.885       0.515     -14.340]
    88 |  5.419e+01 |  4.680e+04 |  [      9.897       9.724      10.008      16.654       4.976      70.177      12.198      35.631      59.078      14.694      48.723     -16.216      61.400      -0.885      65.224     -69.040     -69.020      -1.381      47.469     -69.801      -1.844     -58.546     -47.905     -33.071     -46.770      -5.284      -1.846      13.938       0.537     -14.354]
    89 |  5.585e+01 |  4.662e+04 |  [      9.516       9.338      10.048      16.542       4.625      70.129      11.833      35.650      59.073      14.720      48.703     -16.229      61.334      -0.826      65.243     -67.305     -67.284      -1.402      47.462     -68.133      -1.787     -57.077     -47.901     -33.041     -46.776      -5.252      -1.888      13.989       0.560     -14.364]
    90 |  5.737e+01 |  4.642e+04 |  [      9.132       8.949      10.092      16.441       4.280      70.083      11.461      35.667      59.068      14.744      48.682     -16.231      61.272      -0.761      65.259     -65.545     -65.523      -1.425      47.457     -66.446      -1.731     -55.586     -47.896     -33.011     -46.781      -5.221      -1.927      14.040       0.585     -14.373]
    91 |  5.874e+01 |  4.622e+04 |  [      8.744       8.555      10.139      16.348       3.944      70.038      11.085      35.683      59.061      14.768      48.662     -16.218      61.211      -0.689      65.272     -63.762     -63.739      -1.448      47.454     -64.743      -1.677     -54.075     -47.891     -32.981     -46.787      -5.189      -1.965      14.089       0.611     -14.379]
    92 |  5.994e+01 |  4.602e+04 |  [      8.353       8.159      10.190      16.262       3.618      69.993      10.702      35.698      59.053      14.791      48.641     -16.191      61.152      -0.610      65.283     -61.959     -61.935      -1.473      47.453     -63.028      -1.624     -52.547     -47.886     -32.952     -46.792      -5.159      -2.002      14.138       0.639     -14.382]
    93 |  6.096e+01 |  4.580e+04 |  [      7.959       7.760      10.246      16.182       3.302      69.947      10.315      35.711      59.044      14.812      48.619     -16.148      61.094      -0.522      65.291     -60.140     -60.114      -1.499      47.453     -61.303      -1.572     -51.004     -47.882     -32.925     -46.797      -5.129      -2.036      14.186       0.668     -14.385]
    94 |  6.177e+01 |  4.559e+04 |  [      7.564       7.359      10.306      16.109       3.000      69.902       9.923      35.723      59.035      14.833      48.597     -16.089      61.036      -0.424      65.296     -58.306     -58.279      -1.525      47.455     -59.572      -1.521     -49.449     -47.878     -32.897     -46.803      -5.099      -2.070      14.234       0.699     -14.386]
    95 |  6.236e+01 |  4.537e+04 |  [      7.169       6.956      10.371      16.040       2.713      69.856       9.526      35.734      59.023      14.854      48.574     -16.012      60.979      -0.317      65.300     -56.463     -56.434      -1.551      47.458     -57.840      -1.471     -47.885     -47.875     -32.871     -46.809      -5.070      -2.102      14.280       0.732     -14.385]
    96 |  6.271e+01 |  4.515e+04 |  [      6.773       6.553      10.441      15.975       2.444      69.809       9.126      35.744      59.011      14.873      48.551     -15.916      60.922      -0.200      65.300     -54.613     -54.582      -1.576      47.462     -56.109      -1.421     -46.315     -47.871     -32.845     -46.814      -5.042      -2.133      14.327       0.766     -14.384]
    97 |  6.281e+01 |  4.492e+04 |  [      6.379       6.151      10.516      15.915       2.193      69.761       8.721      35.753      58.997      14.893      48.526     -15.802      60.864      -0.071      65.299     -52.760     -52.727      -1.601      47.467     -54.384      -1.373     -44.741     -47.868     -32.820     -46.820      -5.013      -2.163      14.372       0.801     -14.381]
    98 |  6.265e+01 |  4.470e+04 |  [      5.986       5.751      10.597      15.857       1.964      69.711       8.314      35.762      58.983      14.913      48.501     -15.667      60.806       0.070      65.295     -50.909     -50.874      -1.624      47.472     -52.669      -1.324     -43.167     -47.866     -32.796     -46.826      -4.985      -2.192      14.418       0.838     -14.378]
    99 |  6.221e+01 |  4.448e+04 |  [      5.598       5.354      10.684      15.802       1.758      69.660       7.904      35.770      58.967      14.933      48.475     -15.510      60.747       0.224      65.289     -49.064     -49.026      -1.645      47.478     -50.967      -1.276     -41.597     -47.863     -32.772     -46.832      -4.958      -2.220      14.463       0.876     -14.374]
   100 |  6.150e+01 |  4.427e+04 |  [      5.215       4.961      10.778      15.749       1.578      69.608       7.493      35.778      58.949      14.953      48.447     -15.332      60.686       0.393      65.281     -47.229     -47.189      -1.662      47.485     -49.283      -1.228     -40.034     -47.861     -32.748     -46.838      -4.930      -2.249      14.509       0.915     -14.369]
   101 |  6.050e+01 |  4.405e+04 |  [      4.839       4.575      10.878      15.698       1.426      69.553       7.081      35.785      58.931      14.974      48.419     -15.132      60.623       0.578      65.271     -45.410     -45.367      -1.677      47.492     -47.621      -1.181     -38.482     -47.859     -32.725     -46.844      -4.902      -2.279      14.554       0.956     -14.364]
   102 |  5.921e+01 |  4.385e+04 |  [      4.472       4.198      10.986      15.647       1.304      69.496       6.670      35.794      58.912      14.996      48.389     -14.907      60.559       0.780      65.259     -43.612     -43.565      -1.686      47.500     -45.984      -1.132     -36.945     -47.857     -32.701     -46.849      -4.873      -2.309      14.600       0.997     -14.358]
   103 |  5.766e+01 |  4.365e+04 |  [      4.117       3.831      11.103      15.597       1.213      69.437       6.261      35.802      58.893      15.020      48.358     -14.659      60.492       1.002      65.245     -41.839     -41.789      -1.690      47.508     -44.377      -1.083     -35.427     -47.854     -32.677     -46.854      -4.844      -2.342      14.647       1.039     -14.351]
   104 |  5.584e+01 |  4.347e+04 |  [      3.775       3.478      11.228      15.547       1.157      69.376       5.856      35.812      58.872      15.046      48.326     -14.387      60.423       1.246      65.230     -40.097     -40.044      -1.686      47.516     -42.803      -1.034     -33.933     -47.850     -32.652     -46.859      -4.814      -2.377      14.694       1.081     -14.343]
   105 |  5.378e+01 |  4.329e+04 |  [      3.450       3.140      11.363      15.496       1.135      69.312       5.456      35.824      58.852      15.075      48.293     -14.090      60.351       1.514      65.213     -38.392     -38.336      -1.675      47.524     -41.265      -0.983     -32.465     -47.846     -32.627     -46.862      -4.783      -2.417      14.743       1.123     -14.335]
   106 |  5.153e+01 |  4.312e+04 |  [      3.144       2.821      11.511      15.443       1.149      69.245       5.064      35.837      58.831      15.106      48.258     -13.768      60.275       1.810      65.194     -36.729     -36.669      -1.653      47.532     -39.766      -0.930     -31.029     -47.839     -32.599     -46.864      -4.750      -2.461      14.793       1.166     -14.325]
   107 |  4.914e+01 |  4.297e+04 |  [      2.858       2.521      11.671      15.389       1.200      69.176       4.680      35.853      58.810      15.141      48.221     -13.421      60.196       2.139      65.173     -35.112     -35.048      -1.620      47.540     -38.309      -0.875     -29.628     -47.830     -32.569     -46.864      -4.715      -2.511      14.846       1.207     -14.314]
   108 |  4.671e+01 |  4.283e+04 |  [      2.596       2.244      11.847      15.331       1.287      69.103       4.308      35.873      58.790      15.181      48.183     -13.051      60.112       2.508      65.152     -33.545     -33.477      -1.571      47.547     -36.896      -0.817     -28.265     -47.818     -32.536     -46.860      -4.678      -2.569      14.900       1.248     -14.301]
   109 |  4.434e+01 |  4.270e+04 |  [      2.356       1.990      12.043      15.269       1.409      69.027       3.948      35.897      58.771      15.227      48.143     -12.657      60.025       2.925      65.129     -32.031     -31.960      -1.504      47.553     -35.530      -0.755     -26.941     -47.801     -32.498     -46.853      -4.636      -2.634      14.957       1.287     -14.287]
   110 |  4.225e+01 |  4.258e+04 |  [      2.139       1.757      12.264      15.202       1.563      68.947       3.599      35.927      58.754      15.280      48.101     -12.244      59.932       3.405      65.104     -30.569     -30.494      -1.412      47.558     -34.211      -0.689     -25.656     -47.778     -32.454     -46.841      -4.591      -2.709      15.017       1.324     -14.269]
   111 |  4.073e+01 |  4.246e+04 |  [      1.939       1.541      12.520      15.129       1.742      68.864       3.258      35.963      58.738      15.341      48.058     -11.817      59.834       3.971      65.079     -29.155     -29.077      -1.287      47.560     -32.940      -0.619     -24.404     -47.746     -32.403     -46.820      -4.540      -2.793      15.080       1.359     -14.249]
   112 |  4.031e+01 |  4.235e+04 |  [      1.749       1.334      12.825      15.051       1.936      68.778       2.921      36.007      58.725      15.413      48.011     -11.384      59.730       4.662      65.051     -27.777     -27.696      -1.118      47.559     -31.718      -0.545     -23.174     -47.701     -32.342     -46.788      -4.482      -2.886      15.146       1.390     -14.226]
   113 |  4.195e+01 |  4.224e+04 |  [      1.553       1.120      13.210      14.967       2.128      68.687       2.573      36.058      58.712      15.495      47.960     -10.960      59.621       5.549      65.019     -26.414     -26.330      -0.883      47.552     -30.545      -0.467     -21.941     -47.637     -32.268     -46.737      -4.418      -2.986      15.211       1.412     -14.199]
   114 |  4.713e+01 |  4.211e+04 |  [      1.332       0.880      13.728      14.882       2.296      68.591       2.199      36.113      58.696      15.586      47.902     -10.570      59.508       6.750      64.980     -25.032     -24.944      -0.558      47.534     -29.421      -0.392     -20.668     -47.545     -32.178     -46.657      -4.345      -3.087      15.269       1.417     -14.173]
   115 |  5.626e+01 |  4.195e+04 |  [      1.083       0.613      14.460      14.802       2.426      68.487       1.788      36.157      58.663      15.673      47.828     -10.229      59.390       8.394      64.926     -23.591     -23.499      -0.144      47.503     -28.341      -0.325     -19.308     -47.414     -32.067     -46.535      -4.266      -3.181      15.314       1.384     -14.149]
   116 |  6.459e+01 |  4.173e+04 |  [      0.878       0.387      15.482      14.736       2.554      68.363       1.363      36.156      58.588      15.725      47.724      -9.919      59.265      10.397      64.844     -22.083     -21.989       0.226      47.453     -27.274      -0.263     -17.851     -47.235     -31.925     -46.369      -4.175      -3.270      15.343       1.299     -14.127]
   117 |  6.577e+01 |  4.149e+04 |  [      0.859       0.346      16.763      14.686       2.764      68.200       0.994      36.077      58.443      15.708      47.572      -9.580      59.120      12.324      64.716     -20.578     -20.485       0.313      47.380     -26.175      -0.183     -16.387     -47.019     -31.738     -46.182      -4.068      -3.372      15.371       1.180     -14.098]
   118 |  6.001e+01 |  4.128e+04 |  [      1.087       0.549      18.135      14.657       3.104      67.988       0.753      35.928      58.232      15.627      47.379      -9.177      58.944      13.992      64.536     -19.185     -19.100       0.118      47.287     -25.047      -0.077     -15.066     -46.796     -31.522     -46.000      -3.954      -3.498      15.411       1.008     -14.058]
   119 |  5.266e+01 |  4.110e+04 |  [      1.517       0.953      19.435      14.645       3.571      67.736       0.661      35.740      57.983      15.506      47.169      -8.707      58.739      15.443      64.314     -17.952     -17.882      -0.231      47.186     -23.915       0.049     -13.976     -46.589     -31.304     -45.840      -3.849      -3.639      15.464       0.758     -14.007]
   120 |  4.542e+01 |  4.096e+04 |  [      2.071       1.481      20.587      14.647       4.148      67.460       0.684      35.537      57.720      15.369      46.959      -8.172      58.516      16.677      64.065     -16.868     -16.822      -0.651      47.087     -22.797       0.183     -13.113     -46.416     -31.106     -45.712      -3.763      -3.783      15.524       0.455     -13.950]
   121 |  3.886e+01 |  4.085e+04 |  [      2.676       2.060      21.564      14.655       4.811      67.177       0.776      35.336      57.460      15.231      46.763      -7.580      58.285      17.705      63.805     -15.901     -15.885      -1.088      47.000     -21.704       0.310     -12.431     -46.285     -30.940     -45.618      -3.703      -3.917      15.587       0.132     -13.891]
   122 |  3.325e+01 |  4.076e+04 |  [      3.282       2.642      22.377      14.666       5.538      66.901       0.900      35.145      57.213      15.098      46.585      -6.937      58.059      18.552      63.548     -15.024     -15.044      -1.509      46.930     -20.640       0.422     -11.885     -46.194     -30.814     -45.557      -3.668      -4.035      15.643      -0.183     -13.833]
   123 |  2.862e+01 |  4.069e+04 |  [      3.858       3.197      23.047      14.678       6.308      66.641       1.039      34.967      56.984      14.974      46.427      -6.247      57.845      19.249      63.304     -14.219     -14.281      -1.896      46.877     -19.606       0.510     -11.439     -46.139     -30.726     -45.522      -3.657      -4.131      15.688      -0.476     -13.782]
   124 |  2.488e+01 |  4.063e+04 |  [      4.389       3.711      23.597      14.691       7.102      66.404       1.182      34.800      56.774      14.856      46.289      -5.516      57.650      19.823      63.077     -13.475     -13.582      -2.243      46.837     -18.599       0.571     -11.071     -46.113     -30.675     -45.508      -3.666      -4.203      15.718      -0.740     -13.740]
   125 |  2.189e+01 |  4.058e+04 |  [      4.868       4.178      24.052      14.706       7.900      66.192       1.324      34.644      56.582      14.744      46.169      -4.748      57.477      20.298      62.872     -12.784     -12.939      -2.549      46.807     -17.616       0.604     -10.764     -46.111     -30.656     -45.509      -3.692      -4.250      15.729      -0.973     -13.711]
   126 |  1.950e+01 |  4.054e+04 |  [      5.295       4.595      24.428      14.725       8.684      66.005       1.462      34.496      56.407      14.635      46.065      -3.946      57.327      20.695      62.687     -12.143     -12.345      -2.816      46.781     -16.653       0.610     -10.505     -46.127     -30.663     -45.520      -3.733      -4.272      15.721      -1.178     -13.696]
   127 |  1.758e+01 |  4.050e+04 |  [      5.671       4.967      24.743      14.749       9.439      65.845       1.595      34.355      56.247      14.527      45.975      -3.112      57.202      21.029      62.522     -11.546     -11.796      -3.051      46.755     -15.707       0.591     -10.284     -46.155     -30.692     -45.536      -3.787      -4.268      15.694      -1.357     -13.697]
   128 |  1.603e+01 |  4.047e+04 |  [      6.001       5.295      25.008      14.780      10.151      65.707       1.722      34.217      56.099      14.418      45.897      -2.248      57.099      21.314      62.374     -10.989     -11.286      -3.258      46.729     -14.777       0.548     -10.093     -46.193     -30.741     -45.557      -3.852      -4.240      15.649      -1.516     -13.715]
   129 |  1.476e+01 |  4.045e+04 |  [      6.289       5.585      25.234      14.819      10.808      65.590       1.843      34.081      55.961      14.308      45.829      -1.358      57.016      21.560      62.242     -10.469     -10.812      -3.443      46.699     -13.864       0.483      -9.928     -46.239     -30.805     -45.580      -3.926      -4.187      15.586      -1.658     -13.748]
   130 |  1.371e+01 |  4.042e+04 |  [      6.541       5.840      25.429      14.868      11.403      65.490       1.959      33.945      55.831      14.195      45.769      -0.440      56.953      21.775      62.122      -9.983     -10.370      -3.611      46.665     -12.971       0.400      -9.782     -46.292     -30.883     -45.605      -4.010      -4.110      15.507      -1.787     -13.798]
   131 |  1.284e+01 |  4.040e+04 |  [      6.760       6.066      25.598      14.926      11.932      65.406       2.068      33.809      55.705      14.077      45.717       0.502      56.905      21.964      62.013      -9.526      -9.956      -3.765      46.628     -12.101       0.300      -9.653     -46.349     -30.973     -45.630      -4.101      -4.011      15.414      -1.907     -13.863]
   132 |  1.211e+01 |  4.038e+04 |  [      6.951       6.266      25.747      14.994      12.394      65.335       2.172      33.670      55.584      13.955      45.670       1.466      56.872      22.133      61.912      -9.098      -9.567      -3.911      46.587     -11.259       0.183      -9.539     -46.411     -31.074     -45.656      -4.200      -3.890      15.307      -2.020     -13.943]
   133 |  1.150e+01 |  4.036e+04 |  [      7.118       6.442      25.879      15.073      12.791      65.274       2.271      33.529      55.464      13.828      45.627       2.450      56.851      22.285      61.818      -8.693      -9.202      -4.049      46.542     -10.450       0.053      -9.436     -46.478     -31.185     -45.684      -4.306      -3.749      15.187      -2.129     -14.037]
   134 |  1.098e+01 |  4.035e+04 |  [      7.262       6.598      25.997      15.162      13.126      65.222       2.364      33.383      55.345      13.696      45.588       3.451      56.840      22.423      61.728      -8.312      -8.856      -4.183      46.494      -9.677      -0.091      -9.343     -46.550     -31.306     -45.712      -4.419      -3.589      15.056      -2.235     -14.144]
   135 |  1.053e+01 |  4.033e+04 |  [      7.388       6.737      26.104      15.260      13.404      65.177       2.453      33.233      55.226      13.558      45.551       4.464      56.839      22.550      61.642      -7.950      -8.528      -4.314      46.444      -8.943      -0.247      -9.259     -46.625     -31.435     -45.740      -4.539      -3.412      14.914      -2.340     -14.263]
   136 |  1.013e+01 |  4.032e+04 |  [      7.497       6.859      26.200      15.368      13.632      65.137       2.537      33.079      55.106      13.414      45.516       5.484      56.844      22.667      61.558      -7.606      -8.216      -4.443      46.391      -8.248      -0.415      -9.182     -46.705     -31.573     -45.770      -4.666      -3.221      14.763      -2.444     -14.394]
   137 |  9.767e+00 |  4.030e+04 |  [      7.591       6.968      26.288      15.485      13.816      65.101       2.617      32.919      54.983      13.265      45.482       6.505      56.857      22.775      61.476      -7.278      -7.917      -4.573      46.336      -7.595      -0.594      -9.112     -46.789     -31.720     -45.801      -4.799      -3.018      14.601      -2.549     -14.537]
   138 |  9.423e+00 |  4.029e+04 |  [      7.672       7.065      26.369      15.612      13.962      65.068       2.695      32.753      54.859      13.109      45.449       7.520      56.874      22.877      61.395      -6.964      -7.629      -4.703      46.278      -6.981      -0.784      -9.047     -46.878     -31.875     -45.834      -4.938      -2.803      14.430      -2.656     -14.691]
   139 |  9.085e+00 |  4.028e+04 |  [      7.742       7.151      26.444      15.747      14.076      65.038       2.769      32.581      54.730      12.946      45.416       8.522      56.897      22.972      61.313      -6.660      -7.351      -4.834      46.217      -6.405      -0.985      -8.987     -46.971     -32.039     -45.867      -5.085      -2.581      14.249      -2.764     -14.856]
   140 |  8.744e+00 |  4.026e+04 |  [      7.801       7.228      26.514      15.892      14.162      65.010       2.841      32.401      54.598      12.776      45.383       9.503      56.923      23.063      61.231      -6.366      -7.079      -4.968      46.154      -5.865      -1.198      -8.931     -47.069     -32.211     -45.902      -5.239      -2.354      14.058      -2.875     -15.033]
   141 |  8.397e+00 |  4.025e+04 |  [      7.852       7.296      26.579      16.047      14.227      64.982       2.911      32.214      54.460      12.598      45.349      10.454      56.954      23.150      61.147      -6.080      -6.812      -5.105      46.089      -5.358      -1.422      -8.880     -47.171     -32.393     -45.938      -5.400      -2.123      13.856      -2.989     -15.221]
   142 |  8.045e+00 |  4.024e+04 |  [      7.895       7.357      26.640      16.211      14.273      64.956       2.981      32.018      54.317      12.412      45.315      11.368      56.988      23.234      61.060      -5.799      -6.549      -5.246      46.020      -4.882      -1.659      -8.831     -47.279     -32.585     -45.976      -5.570      -1.891      13.643      -3.107     -15.422]
   143 |  7.691e+00 |  4.023e+04 |  [      7.930       7.410      26.698      16.385      14.305      64.929       3.050      31.813      54.167      12.216      45.279      12.235      57.025      23.314      60.972      -5.522      -6.286      -5.392      45.947      -4.435      -1.909      -8.786     -47.393     -32.787     -46.015      -5.749      -1.661      13.419      -3.230     -15.635]
   144 |  7.348e+00 |  4.022e+04 |  [      7.958       7.457      26.752      16.569      14.325      64.902       3.118      31.598      54.011      12.011      45.242      13.049      57.066      23.393      60.880      -5.248      -6.023      -5.543      45.870      -4.014      -2.173      -8.744     -47.511     -32.999     -46.055      -5.937      -1.434      13.182      -3.358     -15.861]
   145 |  7.025e+00 |  4.021e+04 |  [      7.980       7.497      26.804      16.764      14.336      64.874       3.188      31.372      53.846      11.795      45.203      13.801      57.109      23.469      60.784      -4.976      -5.758      -5.700      45.789      -3.617      -2.452      -8.704     -47.636     -33.223     -46.097      -6.134      -1.212      12.932      -3.491     -16.101]
   146 |  6.737e+00 |  4.021e+04 |  [      7.995       7.531      26.853      16.970      14.339      64.846       3.258      31.134      53.674      11.568      45.163      14.487      57.155      23.544      60.684      -4.706      -5.491      -5.863      45.704      -3.243      -2.745      -8.667     -47.766     -33.458     -46.140      -6.342      -0.997      12.669      -3.630     -16.355]
   147 |  6.496e+00 |  4.020e+04 |  [      8.003       7.558      26.900      17.186      14.337      64.815       3.328      30.886      53.493      11.331      45.120      15.104      57.203      23.618      60.580      -4.438      -5.221      -6.032      45.614      -2.891      -3.053      -8.632     -47.902     -33.705     -46.184      -6.560      -0.790      12.393      -3.775     -16.622]
   148 |  6.309e+00 |  4.019e+04 |  [      8.006       7.577      26.944      17.412      14.332      64.784       3.400      30.626      53.304      11.083      45.074      15.649      57.253      23.690      60.472      -4.173      -4.947      -6.207      45.519      -2.558      -3.375      -8.600     -48.044     -33.962     -46.230      -6.787      -0.591      12.104      -3.927     -16.902]
   149 |  6.180e+00 |  4.018e+04 |  [      8.002       7.588      26.985      17.647      14.324      64.750       3.473      30.355      53.106      10.825      45.026      16.126      57.305      23.761      60.359      -3.911      -4.670      -6.389      45.419      -2.245      -3.711      -8.571     -48.189     -34.229     -46.276      -7.023      -0.401      11.802      -4.084     -17.194]
   150 |  6.106e+00 |  4.018e+04 |  [      7.993       7.592      27.024      17.891      14.314      64.715       3.547      30.074      52.901      10.558      44.976      16.536      57.358      23.830      60.241      -3.654      -4.391      -6.577      45.315      -1.951      -4.059      -8.544     -48.339     -34.505     -46.322      -7.268      -0.219      11.489      -4.247     -17.498]
   151 |  6.084e+00 |  4.017e+04 |  [      7.979       7.586      27.061      18.143      14.303      64.677       3.622      29.784      52.688      10.282      44.923      16.887      57.411      23.898      60.119      -3.402      -4.108      -6.769      45.206      -1.673      -4.418      -8.520     -48.492     -34.788     -46.368      -7.520      -0.044      11.165      -4.415     -17.811]
   152 |  6.106e+00 |  4.016e+04 |  [      7.959       7.571      27.095      18.401      14.293      64.637       3.699      29.485      52.468       9.999      44.868      17.185      57.465      23.964      59.993      -3.156      -3.824      -6.967      45.093      -1.410      -4.787      -8.498     -48.648     -35.079     -46.414      -7.779       0.124      10.832      -4.588     -18.134]
   153 |  6.165e+00 |  4.016e+04 |  [      7.935       7.546      27.127      18.666      14.282      64.594       3.777      29.178      52.242       9.708      44.810      17.436      57.519      24.029      59.863      -2.916      -3.537      -7.170      44.975      -1.162      -5.166      -8.478     -48.806     -35.376     -46.459      -8.044       0.287      10.490      -4.766     -18.464]
   154 |  6.253e+00 |  4.015e+04 |  [      7.907       7.512      27.157      18.936      14.272      64.548       3.856      28.864      52.009       9.411      44.750      17.647      57.572      24.093      59.728      -2.683      -3.249      -7.377      44.854      -0.926      -5.553      -8.461     -48.966     -35.679     -46.503      -8.314       0.446      10.140      -4.948     -18.802]
   155 |  6.365e+00 |  4.014e+04 |  [      7.874       7.467      27.185      19.211      14.263      64.500       3.937      28.542      51.770       9.107      44.686      17.824      57.625      24.156      59.589      -2.455      -2.960      -7.589      44.728      -0.701      -5.947      -8.445     -49.127     -35.986     -46.547      -8.590       0.602       9.782      -5.135     -19.146]
   156 |  6.497e+00 |  4.014e+04 |  [      7.838       7.411      27.210      19.490      14.255      64.448       4.019      28.213      51.524       8.797      44.620      17.974      57.677      24.217      59.446      -2.232      -2.671      -7.805      44.599      -0.485      -6.350      -8.432     -49.289     -36.298     -46.589      -8.871       0.757       9.417      -5.326     -19.496]
   157 |  6.645e+00 |  4.013e+04 |  [      7.798       7.345      27.233      19.774      14.247      64.394       4.104      27.877      51.272       8.481      44.551      18.100      57.728      24.277      59.298      -2.015      -2.382      -8.025      44.465      -0.278      -6.759      -8.421     -49.452     -36.614     -46.630      -9.157       0.910       9.045      -5.522     -19.852]
   158 |  6.806e+00 |  4.012e+04 |  [      7.753       7.269      27.255      20.061      14.240      64.336       4.191      27.534      51.014       8.159      44.480      18.207      57.777      24.336      59.146      -1.802      -2.095      -8.250      44.327      -0.076      -7.176      -8.412     -49.616     -36.933     -46.669      -9.447       1.063       8.666      -5.721     -20.213]
   159 |  6.977e+00 |  4.011e+04 |  [      7.705       7.182      27.275      20.353      14.233      64.275       4.281      27.185      50.750       7.832      44.405      18.298      57.825      24.394      58.990      -1.593      -1.812      -8.478      44.185       0.120      -7.599      -8.405     -49.779     -37.257     -46.707      -9.742       1.216       8.280      -5.926     -20.580]
   160 |  7.157e+00 |  4.010e+04 |  [      7.652       7.087      27.292      20.649      14.227      64.209       4.373      26.828      50.479       7.498      44.327      18.376      57.872      24.451      58.828      -1.387      -1.533      -8.711      44.038       0.311      -8.029      -8.400     -49.944     -37.584     -46.742     -10.041       1.371       7.887      -6.134     -20.952]
   161 |  7.346e+00 |  4.009e+04 |  [      7.594       6.984      27.308      20.948      14.221      64.141       4.467      26.465      50.201       7.159      44.245      18.443      57.916      24.507      58.662      -1.183      -1.261      -8.949      43.887       0.499      -8.466      -8.397     -50.108     -37.915     -46.776     -10.344       1.528       7.486      -6.347     -21.329]
   162 |  7.542e+00 |  4.009e+04 |  [      7.530       6.873      27.321      21.252      14.215      64.068       4.564      26.094      49.917       6.814      44.161      18.501      57.959      24.563      58.490      -0.980      -0.998      -9.191      43.731       0.685      -8.910      -8.396     -50.272     -38.249     -46.808     -10.653       1.687       7.079      -6.565     -21.711]
   163 |  7.745e+00 |  4.008e+04 |  [      7.460       6.757      27.333      21.559      14.208      63.990       4.663      25.716      49.626       6.463      44.072      18.552      57.999      24.617      58.313      -0.779      -0.745      -9.438      43.571       0.869      -9.360      -8.397     -50.436     -38.587     -46.838     -10.965       1.848       6.665      -6.788     -22.098]
   164 |  7.956e+00 |  4.007e+04 |  [      7.384       6.637      27.342      21.870      14.201      63.909       4.764      25.331      49.327       6.106      43.980      18.596      58.038      24.670      58.131      -0.580      -0.502      -9.690      43.405       1.051      -9.818      -8.400     -50.600     -38.928     -46.865     -11.282       2.012       6.244      -7.015     -22.490]
   165 |  8.174e+00 |  4.006e+04 |  [      7.302       6.514      27.350      22.184      14.193      63.822       4.869      24.938      49.021       5.743      43.884      18.634      58.073      24.722      57.943      -0.381      -0.272      -9.947      43.235       1.233     -10.282      -8.405     -50.764     -39.272     -46.890     -11.604       2.179       5.815      -7.248     -22.887]
   166 |  8.402e+00 |  4.005e+04 |  [      7.212       6.389      27.355      22.502      14.183      63.731       4.975      24.538      48.707       5.373      43.784      18.668      58.107      24.773      57.749      -0.184      -0.053     -10.209      43.060       1.414     -10.754      -8.411     -50.927     -39.620     -46.913     -11.930       2.349       5.379      -7.486     -23.288]
   167 |  8.639e+00 |  4.003e+04 |  [      7.116       6.263      27.359      22.824      14.173      63.635       5.085      24.129      48.386       4.998      43.680      18.697      58.137      24.823      57.550       0.012       0.154     -10.476      42.879       1.595     -11.232      -8.419     -51.089     -39.970     -46.933     -12.260       2.523       4.936      -7.729     -23.695]
