  iter |       grad |      value |  vector
    20 |  1.279e+03 |  1.920e+05 |  [    151.929     151.884      -7.522     141.331     145.497     122.674     133.784      44.459      82.991      14.502      73.300      -6.222     128.197      -3.611      94.882     -75.157     -75.213       8.557      36.248     -58.763       7.336     -62.822     -21.732      -8.996     -28.128       4.771      32.760      15.284       5.772       6.157]
    21 |  1.134e+03 |  1.736e+05 |  [    144.685     144.637      -6.339     139.409     138.378     122.083     127.598      44.202      82.749      14.443      72.593      -8.246     127.234      -3.421      91.889     -76.780     -76.837       8.532      37.477     -60.818       6.810     -64.292     -22.549      -9.970     -28.556       4.796      30.476      15.285       5.438       5.774]
    22 |  1.014e+03 |  1.581e+05 |  [    137.811     137.759      -5.094     137.481     131.585     121.333     121.733      43.934      82.395      14.405      71.911      -9.663     126.168      -3.245      89.156     -78.307     -78.364       8.493      38.594     -62.752       6.349     -65.671     -23.322     -10.859     -28.979       4.782      28.454      15.293       5.104       5.418]
    23 |  9.121e+02 |  1.448e+05 |  [    131.284     131.229      -3.765     135.535     125.111     120.448     116.170      43.652      81.947      14.379      71.238     -10.644     125.006      -3.080      86.656     -79.743     -79.800       8.421      39.602     -64.577       5.947     -66.967     -24.053     -11.669     -29.394       4.736      26.663      15.308       4.770       5.084]
    24 |  8.251e+02 |  1.335e+05 |  [    125.084     125.025      -2.341     133.564     118.945     119.447     110.887      43.355      81.418      14.357      70.558     -11.316     123.758      -2.920      84.362     -81.094     -81.151       8.288      40.508     -66.306       5.597     -68.186     -24.746     -12.410     -29.803       4.664      25.073      15.327       4.435       4.771]
    25 |  7.500e+02 |  1.237e+05 |  [    119.189     119.127      -0.832     131.562     113.075     118.346     105.866      43.040      80.821      14.330      69.863     -11.771     122.430      -2.764      82.253     -82.366     -82.423       8.057      41.319     -67.949       5.289     -69.332     -25.407     -13.092     -30.206       4.572      23.652      15.348       4.103       4.475]
    26 |  6.843e+02 |  1.152e+05 |  [    113.579     113.513       0.719     129.528     107.487     117.160     101.090      42.707      80.166      14.292      69.146     -12.073     121.032      -2.611      80.308     -83.561     -83.618       7.691      42.044     -69.517       5.016     -70.408     -26.044     -13.726     -30.607       4.464      22.374      15.371       3.778       4.193]
    27 |  6.259e+02 |  1.077e+05 |  [    108.235     108.166       2.234     127.460     102.169     115.902      96.541      42.357      79.464      14.238      68.407     -12.270     119.571      -2.464      78.510     -84.682     -84.738       7.169      42.695     -71.020       4.770     -71.414     -26.666     -14.325     -31.013       4.341      21.213      15.392       3.471       3.922]
    28 |  5.735e+02 |  1.012e+05 |  [    103.139     103.066       3.616     125.355      97.107     114.585      92.203      41.998      78.727      14.171      67.647     -12.393     118.055      -2.327      76.846     -85.729     -85.784       6.510      43.281     -72.472       4.542     -72.353     -27.283     -14.901     -31.427       4.207      20.147      15.411       3.190       3.657]
    29 |  5.262e+02 |  9.549e+04 |  [     98.276      98.199       4.795     123.210      92.292     113.222      88.062      41.638      77.971      14.098      66.871     -12.466     116.493      -2.201      75.306     -86.706     -86.760       5.766      43.814     -73.883       4.327     -73.225     -27.902     -15.466     -31.852       4.061      19.158      15.427       2.940       3.397]
    30 |  4.834e+02 |  9.044e+04 |  [     93.631      93.551       5.746     121.021      87.712     111.826      84.107      41.289      77.209      14.029      66.085     -12.504     114.893      -2.089      73.881     -87.616     -87.669       5.004      44.305     -75.258       4.117     -74.035     -28.528     -16.028     -32.290       3.904      18.231      15.438       2.721       3.137]
    31 |  4.448e+02 |  8.599e+04 |  [     89.194      89.111       6.486     118.786      83.356     110.409      80.328      40.957      76.452      13.970      65.295     -12.519     113.263      -1.992      72.568     -88.461     -88.513       4.280      44.762     -76.604       3.906     -74.786     -29.163     -16.594     -32.739       3.737      17.357      15.442       2.530       2.876]
    32 |  4.101e+02 |  8.206e+04 |  [     84.954      84.868       7.053     116.502      79.215     108.980      76.716      40.646      75.708      13.925      64.506     -12.519     111.610      -1.907      71.360     -89.248     -89.298       3.624      45.193     -77.921       3.691     -75.483     -29.808     -17.168     -33.197       3.561      16.529      15.437       2.363       2.611]
    33 |  3.788e+02 |  7.857e+04 |  [     80.904      80.815       7.488     114.170      75.276     107.547      73.265      40.356      74.981      13.894      63.721     -12.510     109.943      -1.835      70.254     -89.982     -90.030       3.048      45.603     -79.208       3.470     -76.131     -30.459     -17.751     -33.662       3.377      15.742      15.425       2.215       2.339]
    34 |  3.505e+02 |  7.546e+04 |  [     77.034      76.942       7.826     111.790      71.528     106.119      69.967      40.086      74.273      13.877      62.945     -12.496     108.267      -1.771      69.244     -90.666     -90.712       2.549      45.997     -80.465       3.240     -76.735     -31.114     -18.341     -34.130       3.186      14.990      15.403       2.083       2.060]
    35 |  3.249e+02 |  7.270e+04 |  [     73.338      73.243       8.092     109.365      67.957     104.699      66.817      39.834      73.584      13.871      62.181     -12.482     106.588      -1.716      68.327     -91.306     -91.351       2.120      46.378     -81.689       3.003     -77.298     -31.772     -18.939     -34.601       2.987      14.270      15.374       1.964       1.772]
    36 |  3.017e+02 |  7.022e+04 |  [     69.809      69.711       8.307     106.897      64.554     103.292      63.808      39.597      72.915      13.873      61.432     -12.469     104.912      -1.667      67.497     -91.906     -91.949       1.749      46.750     -82.878       2.759     -77.826     -32.431     -19.542     -35.073       2.781      13.580      15.336       1.855       1.474]
    37 |  2.805e+02 |  6.800e+04 |  [     66.439      66.339       8.484     104.390      61.308     101.900      60.936      39.373      72.264      13.882      60.701     -12.458     103.242      -1.623      66.749     -92.470     -92.511       1.425      47.113     -84.028       2.509     -78.320     -33.089     -20.148     -35.545       2.568      12.915      15.292       1.754       1.164]
    38 |  2.611e+02 |  6.601e+04 |  [     63.222      63.120       8.632     101.847      58.209     100.527      58.193      39.160      71.631      13.894      59.990     -12.452     101.583      -1.583      66.079     -93.001     -93.040       1.140      47.470     -85.138       2.255     -78.784     -33.745     -20.757     -36.016       2.347      12.274      15.242       1.660       0.842]
    39 |  2.433e+02 |  6.422e+04 |  [     60.153      60.048       8.758      99.272      55.250      99.174      55.577      38.954      71.015      13.909      59.303     -12.450      99.938      -1.547      65.481     -93.502     -93.538       0.887      47.820     -86.204       1.997     -79.220     -34.397     -21.365     -36.486       2.118      11.653      15.186       1.572       0.506]
    40 |  2.270e+02 |  6.261e+04 |  [     57.225      57.119       8.867      96.668      52.423      97.842      53.081      38.756      70.414      13.924      58.640     -12.454      98.309      -1.514      64.951     -93.973     -94.007       0.660      48.165     -87.225       1.738     -79.630     -35.044     -21.972     -36.953       1.881      11.051      15.125       1.488       0.156]
    41 |  2.118e+02 |  6.116e+04 |  [     54.435      54.327       8.962      94.037      49.723      96.534      50.702      38.564      69.828      13.939      58.004     -12.464      96.699      -1.485      64.486     -94.418     -94.449       0.454      48.505     -88.198       1.477     -80.015     -35.686     -22.576     -37.416       1.635      10.464      15.061       1.409      -0.208]
    42 |  1.977e+02 |  5.985e+04 |  [     51.778      51.668       9.045      91.383      47.144      95.250      48.436      38.376      69.257      13.953      57.397     -12.479      95.111      -1.457      64.079     -94.836     -94.865       0.267      48.838     -89.121       1.217     -80.376     -36.320     -23.175     -37.876       1.381       9.893      14.993       1.333      -0.587]
    43 |  1.847e+02 |  5.867e+04 |  [     49.248      49.137       9.119      88.707      44.683      93.993      46.279      38.192      68.699      13.965      56.819     -12.501      93.546      -1.433      63.727     -95.228     -95.255       0.096      49.165     -89.995       0.959     -80.713     -36.947     -23.768     -38.331       1.118       9.335      14.922       1.261      -0.981]
    44 |  1.725e+02 |  5.760e+04 |  [     46.842      46.730       9.184      86.013      42.335      92.762      44.228      38.012      68.156      13.975      56.271     -12.530      92.007      -1.410      63.426     -95.595     -95.619      -0.060      49.483     -90.817       0.703     -81.028     -37.564     -24.353     -38.780       0.845       8.789      14.847       1.192      -1.390]
    45 |  1.612e+02 |  5.663e+04 |  [     44.557      44.443       9.241      83.303      40.098      91.559      42.280      37.835      67.626      13.982      55.754     -12.565      90.496      -1.390      63.172     -95.937     -95.959      -0.204      49.791     -91.589       0.450     -81.320     -38.171     -24.928     -39.222       0.564       8.254      14.770       1.126      -1.814]
    46 |  1.506e+02 |  5.576e+04 |  [     42.389      42.274       9.292      80.579      37.969      90.385      40.432      37.660      67.109      13.986      55.267     -12.606      89.012      -1.372      62.961     -96.254     -96.274      -0.335      50.088     -92.308       0.201     -81.590     -38.766     -25.493     -39.657       0.274       7.731      14.691       1.062      -2.252]
    47 |  1.406e+02 |  5.498e+04 |  [     40.334      40.219       9.337      77.844      35.945      89.242      38.680      37.489      66.607      13.987      54.811     -12.653      87.559      -1.355      62.790     -96.545     -96.563      -0.456      50.371     -92.976      -0.043     -81.838     -39.348     -26.045     -40.084      -0.023       7.218      14.609       1.002      -2.702]
